campus,Building,Room ,RoomType,
TRURO,TRM,TRM-345,Computer Lab,
TRURO,TRM,TRM-346,Computer Lab,
TRURO,TRM,TRM-347,Computer Lab,
TRURO,TRM,TRM-348,Computer Lab,
TRURO,TRS,TRS-004,Cafeteria,
TRURO,TRS,TRS-005,Multiple Configurations,
TRURO,TRU,TRU-107,Gymnasium,
WATER,WAT,WAT-1032,Meeting Room,
WATER,WAT,WAT-1040,Meeting Room,
WATER,WAT,WAT-1102,Shop,
WATER,WAT,WAT-1110,Lab,
WATER,WAT,WAT-1120,Lab,
WATER,WAT,WAT-1200,Lab,
WATER,WAT,WAT-1201,Lab,
WATER,WAT,WAT-1210,Lab,
WATER,WAT,WAT-1215,Lab,
WATER,WAT,WAT-1216,Lab,
WATER,WAT,WAT-1230,Lab,
WATER,WAT,WAT-1240,Lab,
WATER,WAT,WAT-1250,Lab,
WATER,WAT,WAT-1326,Shop,
WATER,WAT,WAT-1333,Lab,
WATER,WAT,WAT-1337,Lab,
WATER,WAT,WAT-1414,Classroom,
WATER,WAT,WAT-1416,Classroom,
WATER,WAT,WAT-1526,Computer Lab,
WATER,WAT,WAT-1528,Computer Lab,
WATER,WAT,WAT-2020,Meeting Room,
WATER,WAT,WAT-2150,Lab,
WATER,WAT,WAT-2152,Computer Lab,
WATER,WAT,WAT-2154,Computer Lab,
WATER,WAT,WAT-2156,Lab,
WATER,WAT,WAT-2158,Classroom,
WATER,WAT,WAT-2200,Meeting Room,
WATER,WAT,WAT-2252,Lab,
WATER,WAT,WAT-2254,Lab,
WATER,WAT,WAT-2300,Cafeteria,
WATER,WAT,WAT-2339,Meeting Room,
WATER,WAT,WAT-2400,Meeting Room,
WATER,WAT,WAT-2520,Meeting Room,
WATER,WAT,WAT-2530,Classroom,
WATER,WAT,WAT-3112,Multiple Configurations,
WATER,WAT,WAT-3140,Computer Lab,
WATER,WAT,WAT-3142,Computer Lab,
WATER,WAT,WAT-3321,Computer Lab,
WATER,WAT,WAT-3323,Classroom,
WATER,WAT,WAT-3325,Classroom,
WATER,WAT,WAT-3331,Lab,
WATER,WAT,WAT-3335,Computer Lab,
WATER,WAT,WAT-3337,Classroom,
WATER,WAT,WAT-3339,Meeting Room,
WATER,WAT,WAT-3522,Classroom,
WATER,WAT,WAT-3524,Classroom,
WATER,WAT,WAT-3526,Classroom,
WATER,WAT,WAT-3610,Lab,
WATER,WAT,WAT-3620,Lab,
WATER,WAT,WAT-3630,Shop,
WATER,WAT,WAT-3633,Lab,
WATER,WAT,WAT-3640,Lab,
WATER,WAT,WAT-3650,Shop,
WATER,WAT,WAT-3653,Classroom,
WATER,WAT,WAT-3660,Shop,
WATER,WAT,WAT-3670,Shop,
WATER,WAT,WAT-3680,Shop,
WATER,WAT,WAT-3681,Classroom,
WATER,WAT,WAT-3683,Classroom,
WATER,WAT,WAT-3711,Lab,
WATER,WAT,WAT-3713,Lab,
WATER,WAT,WAT-3715,Lab,
WATER,WAT,WAT-3717,Lab,
WATER,WAT,WAT-3732,Classroom,
WATER,WAT,WAT-3734,Classroom,
WATER,WAT,WAT-3736,Classroom,
WATER,WAT,WAT-4110,Lab,
WATER,WAT,WAT-4112,Lab,
WATER,WAT,WAT-4122,Lab,
WATER,WAT,WAT-4124,Lab,
WATER,WAT,WAT-4140,Meeting Room,
WATER,WAT,WAT-4190,Classroom,
WATER,WAT,WAT-4210,Lab,
WATER,WAT,WAT-4230,Lab,
WATER,WAT,WAT-4240,Lab,
WATER,WAT,WAT-4260,Lab,
WATER,WAT,WAT-4321,Computer Lab,
WATER,WAT,WAT-4325,Classroom,
WATER,WAT,WAT-4327,Computer Lab,
WATER,WAT,WAT-4331,Computer Lab,
WATER,WAT,WAT-4334,Computer Lab,
WATER,WAT,WAT-4335,Computer Lab,
WATER,WAT,WAT-4337,Classroom,
WATER,WAT,WAT-4339,Meeting Room,
WATER,WAT,WAT-4420,Classroom,
WATER,WAT,WAT-4426,Classroom,
WATER,WAT,WAT-4428,Classroom,
WATER,WAT,WAT-4522,Classroom,
WATER,WAT,WAT-4524,Classroom,
WATER,WAT,WAT-4526,Classroom,
WATER,WAT,WAT-4631,Classroom,
WATER,WAT,WAT-4633,Classroom,
WATER,WAT,WAT-4651,Classroom,
WATER,WAT,WAT-4653,Classroom,
WATER,WAT,WAT-4680,Lab,
WATER,WAT,WAT-4681,Classroom,
WATER,WAT,WAT-4683,Classroom,
WATER,WAT,WAT-4711,Lab,
WATER,WAT,WAT-4713,Lab,
WATER,WAT,WAT-4715,Lab,
WATER,WAT,WAT-4716,Computer Lab,
WATER,WAT,WAT-4717,Lab,
WATER,WAT,WAT-4718,Computer Lab,
WATER,WAT,WAT-4732,Classroom,
WATER,WAT,WAT-4734,Classroom,
WATER,WAT,WAT-4736,Classroom,
WATER,WAT,WAT-4738,Classroom,
WATER,WAT,WAT-5110,Multiple Configurations,
WATER,WAT,WAT-5150,Classroom,
WATER,WAT,WAT-5214,Classroom,
WATER,WAT,WAT-5216,Classroom,
WATER,WAT,WAT-5223,Meeting Room,
WATER,WAT,WAT-5224,Classroom,
WATER,WAT,WAT-5226,Classroom,
WATER,WAT,WAT-5227,Multiple Configurations,
WATER,WAT,WAT-5321,Classroom,
WATER,WAT,WAT-5323,Classroom,
WATER,WAT,WAT-5325,Classroom,
WATER,WAT,WAT-5327,Multiple Configurations,
WATER,WAT,WAT-5329,Meeting Room,
WATER,WAT,WAT-5331,Computer Lab,
WATER,WAT,WAT-5334,Computer Lab,
WATER,WAT,WAT-5337,Classroom,
WATER,WAT,WAT-5339,Meeting Room,
WATER,WAT,WAT-5422,Classroom,
WATER,WAT,WAT-5424,Classroom,
WATER,WAT,WAT-5426,Classroom,
WATER,WAT,WAT-5428,Classroom,
WATER,WAT,WAT-5522,Classroom,
WATER,WAT,WAT-5524,Lab,
WATER,WAT,WAT-5526,Classroom,
WATER,WAT,WAT-5528,Classroom,
WATER,WAT,WAT-5703,Classroom,
WATER,WAT,WAT-CARP,Exterior,
